Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
117,mi jefe es una persona fría,Etiquetado,,,,,,Preferiría que mi jefe me hablara de una manera más cercana,,,,,
118,Ella es una maleducada,Etiquetado,,,,,,A veces hace actos que a mi parecen no son suficientemente educados,,,,,
119,Él es un sinvergüenza,Etiquetado,,,,,,Hay cosas que él hace que no comparto,,,,,
120,Mi hijo es un caradura,Etiquetado,,,,,,Me gustaría que mi hijo fuera más respetuoso conmigo,,,,,
121,Ella es una acomplejada,Etiquetado,,,,,,Ella es una persona que a veces se muestra cohibida,,,,,
122,soy pésimo en todo lo que hago,Etiquetado,,,,,,Hay algunas cosas que hago que desearía hacerlas mejor,,,,,
123,Mi madre es pesada,Etiquetado,,,,,,Mi madre insiste mucho cuando quiere que haga algo,,,,,
124,mi hijo es terrible,Etiquetado,,,,,,A veces mi hijo se comporta de una manera que me disgusta,,,,,
125,soy una decepción para los demás,Etiquetado,,,,,,Siento que me gustaría hacerlo mejor,,,,,
126,mi hermano es un vividor,Etiquetado,,,,,,mi hermano no parece preocuparse mucho por algunas cosas que a mi me preocupan mucho,,,,,
127,mis compañeros son unos aprovechados,Etiquetado,,,,,,mis compañeros a veces me piden favores que me parecen demasiado,,,,,
128,"soy horrorosa, no le puedo gustar a nadie",Etiquetado,,,,,,"Siento que no puedo gustar a nadie, pero si lo pienso hay personas a las que les gusto",,,,,
129,mi amiga es deprimente,Etiquetado,,,,,,"Cuando mi amiga tiene un problema, le cuesta hablar de otra cosa",,,,,
130,soy despreciable,Etiquetado,,,,,,"Hay cosas de mi mismo que no me gustan, pero otras están bien así y mis amigos lo valoran",,,,,
131,mi novia es insoportable,Etiquetado,,,,,,mi novia a menudo es un poco pesada en algunas cosas,,,,,
132,No valgo para nada,Etiquetado,,,,,,"Me he vuelto a equivocar hoy, intentaré mejorar mañana",,,,,
133,Soy un desastre como persona,Etiquetado,,,,,,He vuelto a meter la pata hoy  pero esto no me define como persona,,,,,
134,Mis amigos son muy egoistas solo se centran en lo que les importa a ellos.,Etiquetado,,,,,,"A veces esta bien pensar en lo que cadauno quiere, esto no significa que no te importen los demás. ",,,,,
135,"Soy horrible, le hago daño a todo el mundo",Etiquetado,,,,,,"A veces perdo el control y digo casas que pueden dañar a la gente, me iria bien mejorar mi reacción.",,,,,
136,"Soy demasiado lenta, nunca seré la mejor",Etiquetado,,,,,,"Puedo practicar para poder hacer las cosas más desprisa, si me ayuda a sentirme mejor",,,,,
137,Soy la que pero juega de mi equipo,Etiquetado,,,,,,Puede que necessite entrenar algo más para llegar al máximo nivel que tiene mi equipo,,,,,
138,Soy un maniatico,Etiquetado,,,,,,"Tengo algunas constumbres que hago simpre igual, como muchas personas, pero esto no me define.",,,,,
139,Mi compañero es muy pesado ,Etiquetado,,,,,,En ocasiones mi compañero habla mucho y esto me molesta,,,,,
140,Mis padres son lo pero,Etiquetado,,,,,,"Mis padres a menudo no me comprenden, pero en muchas otras ocasiones intentan estar a mi lado.",,,,,
141,"No puedo más con mi hijo, es insoportable, me hace la vida impossible",Etiquetado,,,,,,"Se me esta haciendo dura esta etapa de mi hijo, pero tengo que entender que forma parte de su proceso de desarrollo..",,,,,
142,"Siempre he sido muy patosa, todos los deportes se me dan mal",Etiquetado,,,,,,"A veces soy patosa y tengo poca destreza, pero esto no me define.",,,,,
143,"No soy persistente, así no podré conseguir lo que me proponga",Etiquetado,,,,,,Me gustaria mejorar y ser más persistente en mis propositos.,,,,,
144,Éste señor es despreciable,Etiquetado,,,,,,Éste señor a veces hace conductas que considero poco adecuadas.,,,,,
145,Soy odiosa,Etiquetado,,,,,,En ocasiones puedo dar rabia a la gente pero esto no significa que me vaya a odiar.,,,,,
146,Soy el más flojo del equipo,Etiquetado,,,,,,Me gustatia coger más forma física.,,,,,
147,Mi hermana es muy egoista,Etiquetado,,,,,,"Mi hermana a menudo piensa solo en ella, aunque algunas veces no es así",,,,,
148,"Soy demasiado antipatico, así como voy a tener amigos",Etiquetado,,,,,,Me gustaria tener más facilidad para hablar con la gente y así relacionarme más.,,,,,
,Pensamiento absolutista,,,,,,,,,,,,
1,O me ayuda o no quiero saber nada de esa persona.,Pensamiento absolutista,,,,,,"No siempre me podrá ayudar, algunas veces tendrá cosas que hacer que también serán importantes ",o vienes o te vas,o vienes o te vas,"Tengo la entrega de un trabajo en grupo, la parte que me toca es difícil y no sé bien cómo hacerla, tengo miedo que  si no hago las cosas bien no me querrán  ",Catastrofismo,"Tengo la entrega de un trabajo en grupo, la parte que me toca es difícil y no sé bien cómo hacerla, y aunque no me salga como me gustaría, sé que el trabajo en grupo consiste en apoyarnos mutuamente y podría pedir que me echaran una mano en mejorarlo"
2,"O está impecable, o está sucio",Pensamiento absolutista,,,,,,"Es importante que las cosas esten limpias, aunque no siempre estaran impolutas y esto también esta bien","si no vienes, te lo vas a perder","si no vienes, te lo vas a perder","Mi madre de pequeña me decía que era muy guapa y así encontraría a mi príncipe azul. En el cole un chico dijo que no le gustaba una chica porque  era gorda, por lo que si no estoy delgada no conseguiré pareja",,"Mi madre de pequeña me decía que era muy guapa y así encontraría a mi príncipe azul. En el cole un chico dijo que no le gustaba una chica porque  era gorda. A pesar de estas experiencias, he aprendido que la persona que quiera estar conmigo me aceptará como soy"
3,"O soy perfecto, o soy un desastre",Pensamiento absolutista,,,,,,"A veces me equivoco, como todos, pero esto no me define como persona","a veces tengo el dilema de,  o me quedo en casa o salgo",a veces me tengo el dilema: o me quedo en casa o salgo,"Mi jefe nos dijo que le gusta el trabajo bien hecho y que valora que sus empleados lo hagan lo mejor posible. O hago todo perfecto o me echarán del trabajo, porque no lo haré como le gusta a mí
 jefe",,"Mi jefe nos dijo que le gusta el trabajo bien hecho y que valora que sus empleados lo hagan lo mejor posible, aunque a veces temo me puedan echar el trabajo si no lo hago como a él le gusta, me recuerdo a mí mismo que  todos podemos equivocarnos en algún momento y eso no implica que no haga bien mi trabajo"
4,"Si no estás conmigo, estás contra mí",Pensamiento absolutista,,,,,,"Puede que no siempre estemos de acuerdo con el resto de gente, cada uno tenemos nuestras ideeas y creencia, pero esto no nos situa en posiciones opuestas, podemos entendernos ",o comemos arroz o pasta,o comemos arroz o pasta,"Ayer mis amigos me hicieron algo que no me gustó, no les dije nada y preferí dejarlo pasar, porque si me enfado no me aceptarán porque pensarán que soy mala persona",,"Ayer mis amigos me hicieron algo que no me gustó y se los dije en vez de dejarlo pasar, porque aprendí que puedo mostrar mi enfado de forma asertiva para hacer valer mis derechos "
5,o está perfecto o no lo quiero,Pensamiento absolutista,,,,,,Las cosas estan bien aunque no sean perfectas,"si no tenemos arroz, cocinaremos pasta","si no tenemos arroz, cocinaremos pasta","Tengo una entrega de un proyecto importante esta semana, llevo trabajando varios días casi sin descansar, quiero que salga bien. O todo está perfecto o no descanso ",,"Tengo una entrega de un proyecto importante esta semana, llevo trabajando varios días casi sin descansar porque quisiera que salga bien, aunque también quiero conseguir un balance entre hacer bien las cosas y descansar, porque sé que ambas cosas son importates "
6,No aguanto más la situación con mi pareja. O elige a su familia o me elige a mí,Pensamiento absolutista,,,,,,"El problema con la familia de mi pareja me agobia, seria mejor que lo hablasemos y así podriamos encontrar un equilibrio entre nosotros y la familia",si no encuntro un regalo le haré un vale.,si no encuntro un regalo le haré un vale.,"Hay un chico en la uni que me gusta mucho, creo que estoy enamorada.  No sé si él siente algo por mi porque no me ha dicho nada. Si no me quiere no podré ser feliz",,"Hay un chico en la uni que me gusta mucho, creo que estoy enamorada.  No sé si él siente algo por mi porque no me ha dicho nada. Igualmente estoy bien, porque mi felicidad no depende sólo de que me quiera"
7,si no soy el mejor en mi trabajo entonces me despedirán,Pensamiento absolutista,,,,,,"Lo importante es hacer bien mi trabajo y cumplir con los objetivos, si es así no habrá ningun problema",o voy hoy a ver a mis padres o voy mañana,o voy hoy a ver a mis padres o voy mañana,Este año cumplí 30 años y mis padres me han dicho que es buen momento para encontrar una pareja estable. O encuentro pareja o pensarán que no sirvo para nada,,"Este año cumplí 30 años y mis padres me han dicho que es buen momento para encontrar una pareja estable. Aunque sea algo importante para ellos, pienso que es una decisión personal y  mi valor como persona no depende de si tengo pareja "
8,me encuentro muy cansada si no termino la investigación se acabó,Pensamiento absolutista,,,,,,Necesito un descanso para poder seguir rindiendo y que las cosas salgan como espero,o consigo acabar esto ahora o no podré entregarlo,o consigo acabar esto ahora o no podré entregarlo,"Estoy estudiando y trabajando en algo que me gusta, por lo que siento que no es buen momento para ser madre, pero mis padres me insisten que mejor no lo deje para muy tarde, esto me estresa. O tengo hijos o pensarán que no valgo como mujer ",,"Estoy estudiando y trabajando en algo que me gusta, por lo que siento que no es buen momento para ser madre, pero mis padres me insisten que mejor no lo deje para muy tarde, yo creo que ser madre es una decisión personal y no me define como mujer "
9,Estoy muy agobiado estos días. O apruebo las oposiciones o no sé qué haré,Pensamiento absolutista,,,,,,"Para mi es importante aprovar las oposiciones, pero si no salen podria valorar otras alternativas ",si no me dicen nada les escribiré yo,si no me dicen nada les escribiré yo,"En la oficina han instalado un nuevo sistema informático, la mayoría de mis compañeros ya sabe usarlo, pero a mí me está costando entender cómo hacer para que funcione. Si no sé qué hacer pensarán que soy un ignorante",,"En la oficina han instalado un nuevo sistema informático, la mayoría de mis compañeros ya sabe usarlo, pero a mí me está costando entender cómo hacer para que funcione. Sin embargo, aunque a veces puedo no saber qué hacer, puedo aprenderlo"
10,Si no hago ejercicio engordaré,Pensamiento absolutista,,,,,,Puedo controlar otros factores para no subir de peso,o me lo apunto en la agenda o me olvidaré,o me lo apunto en la agenda o me olvidaré,Sigo una cuenta en Instagram que explica cómo perder peso  aprendiendo a contar calorías. O como poco o seré una obesa,,"Sigo una cuenta en Instagram que explica cómo perder peso  aprendiendo a contar calorías. Está puede ser una manera de bajar de peso, pero lo más importante es recordar que para estar saludable necesito comer lo adecuado"
11,si no dejo de comer seguiré estando gordo,Pensamiento absolutista,,,,,,"Todos necesitamos comer, puedo estar más atento al tipo de comida que como",Si no hubiera ido a ver esa peli no me lo hubiera pasado tan bien,Si no hubiera ido a ver esa peli no me lo hubiera pasado tan bien,"Cuando bajo un poco de peso las personas a mí alrededor me felicitan y me dicen que me veo guapa, esto me hace sentir bien y feliz por un rato. Si no como nada no podré estar delgada y no seré feliz",,"Cuando bajo un poco de peso las personas a mí alrededor me felicitan y me dicen que me veo guapa, esto me hace sentir bien y feliz sólo por un rato. Al final, lo cierto es que puedo ser feliz aunque no esté delgada"
12,o apruebo el examen o no tendré futuro,Pensamiento absolutista,,,,,,"Este examen es importante, aunque el futuro es mucho más",Si no le hago la comida a mi pareja no conseguirá su meta de estar más delgada porque no se sabe cocinar,Si no le hago la comida a mi pareja no conseguirá su meta de estar más delgada porque no se sabe cocinar,"En el grupo de clases de inglés pasó una vez que uno de los chicos no estaba de acuerdo con el resto, al cabo de un tiempo dejó de juntarse con nosotros. O acepto las opiniones de los demás o me rechazarán ",,"En el grupo de clases de inglés pasó una vez que uno de los chicos no estaba de acuerdo con el resto, al cabo de un tiempo dejó de juntarse con nosotros, pensé que era porque nos rechazaba, le pregunté si le pasaba algo y me dijo que nos respetaba pero preferiría estar sólo, así que aprendí que puedo no estar de acuerdo con alguien y ser aceptada por esa persona"
13,si no soy el mejor en mi trabajo entonces me despedirán,Pensamiento absolutista,,,,,,"Es importante que nos impliquemos en el trabajo y seamos resonsables, si cumplo con lo acordado todo estará bien",O llego a mi trabajo a las 8 que es la hora perfecta o más tarde no consigo aparcar el coche,O llego a mi trabajo a las 8 que es la hora perfecta o más tarde no consigo dónde aparcar el coche,"Una vez tuve que hacer una presentación en clase de historia y me puse nervioso porque no había tenido tiempo de prepararla bien, al final no salió como me hubiera gustado. Si me pongo nervioso no podré hacer bien la presentación nunca más  ",,"Una vez tuve que hacer una presentación en clase de historia y me puse nervioso porque no había tenido tiempo de prepararla bien, al final no salió como me hubiera gustado por la falta de tiempo. Luego la preparé mejor y  aunque también me puse  nervioso la presentación me salió como esperaba"
14,O está todo bien organizado o no voy a ir al viaje,Pensamiento absolutista,,,,,,Puedo controlar lo que como para así no subir más de peso,Si no  le permito a mi hijo que se enfade no aprenderá que es una emoción como cualquier otra,Si le permito a mi hijo que se enfade cuando tiene razón aprenderá que es una emoción como cualquier otra,"Mi padre cuando yo era pequeño solía decirme que sí conseguía tener éxito en lo que trabajara haría que me sintiera realizado como persona, ahora tengo temor, porque pienso que  o tengo éxito en el trabajo o seré una fracasado, y esto me estresa",,"Mi padre cuando yo era pequeño solía decirme que si conseguía tener éxito en lo que trabajara haría que me sintiera realizado como persona, pero me he dado cuenta que además del trabajo hay muchas otras cosas importantes en la vida"
15,siempre estamos igual o encontramos la forma de entendernos o yo me voy de casa,Pensamiento absolutista,Sobregeneralización,,,,,Hay otras formas que nos ayudan a no engordar si no siempre podemos hacer ejercicio,O descanso o luego no rindo en el gimnasio ni puedo hacer los movimientos perfectos,O descanso o luego no rindo en el gimnasio ni puedo hacer los movimientos perfectos,"En el cole hay una chica que suele quejarse de las cosas y  andar con cara triste, por eso los compañeros no quieren estar con ella, por
 dicen que es un rollo andar con una pesimista. creo que si me ven tristen no querrán estar conmigo",,"En el cole hay una chica que suele quejarse de las cosas y  andar con cara triste, hay compañeros que no quieren estar con ella,  dicen que es un rollo andar con una pesimista. Aunque la mayoría sí se le acerca para saber si necesita algo, porque una de las funciones de la tristeza es que los otros nos den consuelo y estén cercanos "
